review	sectionId	type_page	type_model	type_review	used
Преподаватель мне понравилась своей коммуникабельностью, она всегда вовремя приходила к нам домой ( у меня живет одна бабушка) давала рекомендации как лучше подготовиться или уже начать заниматься английским языком! Я очень довольна ее работой и буду продолжать с ней работать.	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.3323	AI	0.0
Замечательный преподаватель!!! Она отлично владеет своим предметом как в теории так на практике!! Мне нравится то что она всегда готова ответить мне вопросом или помочь разобраться во временах если я ошибаюсь😊 Я занимаюсь уже месяц,и чувствую себя намного увереннее.Уроки проходят интересно!Я рекомендую данного педагога всем кто хочет научиться свободно общаться за границей!!!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.3563	AI	0.0
Замечательный педагог по английскому языку. Я занимаюсь уже второй месяц, но чувствую себя намного увереннее при общении на английском языке после занятий со специалистом! Репетитор отлично владеет своим предметом как специалист широкого профиля : имеет глубокие знания грамматики английского языка; умеет правильно построить урок так чтобы ученик не только усвоил материал а получил удовольствие от урока ; интересно строит занятие исходя из моих пожеланий или целей.	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.3531	AI	0.0
Замечательный преподаватель английского языка для детей младшего школьного возраста от 6 до 9 лет. Она очень хорошо преподает материал в доступной форме, быстро нашла подход к ребенку благодаря своей доброжелательности! Занятия проходят интересно как раз потому-что педагог умеет заинтересовать ребенка предметом : они смотрят мультфильмы про животных или читают книги о них; она постоянно приносит различные материалы со своими заданиями из разных источников ; занятия всегда начинаются вовремя без опозданий!!! Мы продолжаем заниматься английским языком именно с данным педагогом сейчас пока еще есть возможность продолжить обучение у нее после каникул!!!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.2754	AI	0.0
Замечательный преподаватель английского языка для детей от 6 до 11 лет (школьники). Она умеет найти подход не только к детям младшего школьного класса, но и к взрослым. Занятия проходят интересно! Уроки всегда начинаются вовремя без опозданий!!! Очень рекомендую данного репетитора всем желающим повысить свой уровень владения английским языком!!! Рекомендую обращаться к ней как к грамотному специалисту!!!! Всем советую!!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.2403	AI	0.0
Нам очень нравится этот педагог по английскому языку она быстро нашла общий контакт со мной, у нее хороший подход к обучению я довольна результатом занятий. Уроки всегда интересные для меня они разнообразны мы занимаемся не только изучением грамматики но также много времени уделяем разговорной речи на английском языке так что скучать точно некогда! Спасибо большое за ее работу Рекомендую всем!!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.2733	AI	0.0
"Нам очень понравилась как педагог по английскому языку в прошлом учебном году она помогала моему сыну подтянуть успеваемость за год до ""четверок"" благодаря чему он получил аттестат о среднем образовании! Занимались мы около месяца но результат был заметен сразу же после начала обучения так что я считаю её отличным специалистом для подготовки к ГИА или ЕГЭ а также просто хорошим человеком который всегда поможет если это потребуется!!! Рекомендую всем кто хочет хорошо подготовиться перед экзаменом!!"	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.3612	AI	0.0
Учительница нам подошла как по своим профессиональным качествам так личностным. Она грамотный педагог, доступно объясняет материал ребенку она быстро нашла подход к сыну что для меня было важно тк я сама являюсь педагогом английского языка а это значит могу дать совет тем кто хочет научиться хорошо преподавать или просто повысить свой уровень владения языком! Спасибо вам большое за подбор такого хорошего специалиста!!! Рекомендую всем!!!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.1052	AI	0.0
Педагог отлично преподает английский язык моей дочери. Она быстро нашла подход к ребенку, смогла заинтересовать ее занятиями английским языком : они смотрят мультфильмы про животных или читают книги о них! Девочка стала лучше понимать предмет благодаря дополнительным урокам репетитора :) Она уже может составлять предложения самостоятельно из слов разных частей речи!!! Мы довольны работой специалиста!!! Спасибо Вам большое за подбор такого замечательного педагога!!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.1089	AI	0.0
Преподаватель очень нам нравится! Мы продолжаем с ней заниматься до сих пор изучением английского языка уже на протяжении двух лет! Преподаватель помогает моей дочери повысить уровень знаний грамматики, разговорного уровня. Занятия проходят интересно для ребенка: они смотрят мультфильмы про животных или просто разговаривают о том что их интересует... Мой ребенок всегда ждет прихода преподавателя!!! И это несмотря то....что у неё достаточно строгий график работы!!!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.2760	AI	0.0
Педагог помогает мне повысить уровень владения английским языком с помощью аудио-, видеозаписей на занятиях в формате Skype. Мне нравится то, что она всегда заранее готовится ко всем урокам со мной или присылают материалы из интернета : тексты песенки мультфильмы фильмы диалоги между нами о том как мы живем... Все занятия проходят интересно! Я уже многое освоил благодаря репетитору!!! Спасибо ей большое!!!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.2715	AI	0.0
Специалист преподает сыну уроки английского языка в игровой форме на протяжении всего учебного года (с сентября). Репетитор нашла подход к ребенку благодаря своей доброжелательности ко всему происходящему вокруг ребенка во время занятий; она всегда пунктуальна как никогда ранее не было у нас репетитором вообще... Я считаю ее одним из лучших преподавателей своего времени!!! Уроки проходят интересно даже без учебников или каких либо дополнительных материалов!! Ребенок занимается охотно!!!! Рекомендую её всем своим знакомым!!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.338	AI	0.0
Очень хороший преподаватель английского языка для тех учеников, которые хотят повысить свой уровень знаний или просто подтянуть разговорный английский язык! Занятия проходят интересно (на уроках используются аудио-, видеоматериалы), материал преподносится доступно даже тем ученикам у которых начальный уровен владения предметом!!! Рекомендую данного преподавателя всем желающим улучшить свои навыки общения!!!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.1447	AI	0.0
Замечательный преподаватель английского языка для детей младшего школьного возраста по скайпу. Она очень хорошо знает свой предмет, умеет заинтересовать занятиями своего ученика! Уроки проходят легко благодаря тому что педагог использует много наглядных пособий : карточки-головоломки из разных стран мира(США), картинки животных со всех уголков земного шара... Все это помогает ребенку лучше усваивать материал... В общем я рекомендую её как отличного преподавателя детям младших классов!!!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.3223	AI	0.0
Замечательный преподаватель! Она умеет найти подход к ученику (мы занимаемся вдвоем), имеет четкую методику преподавания материала по английскому языку для подготовки ко ВНО, доступно излагает материал на занятиях. С ребенком они занимаются повышением успеваемости уже несколько месяцев 2 раза/ неделю! Занятия проходят очень интересно : используются различные дополнительные материалы от педагога( аудирование )и учебники из серии издательства Oxford. Я всем рекомендую данного репетитора как грамотного специалиста!!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.2259	AI	0.0
Специалист мне нравится как педагог английского языка Она всегда готовится заранее на занятия приносит свои материалы использует аудио-видео материал мне это особенно нравиться я получаю новые знания от занятий так же у меня есть успехи за короткий срок обучения мой уровень знаний значительно повысился спасибо большое!!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.2842	AI	0.0
Замечательный преподаватель английского языка! Она умеет найти подход к ученику, имеет четкую методику преподавания материала (грамматика), материал излагается доступно для понимания ученика   Занятия всегда проходили вовремя без опозданий или переносов по инициативе педагога; все договоренности строго соблюдались нами во время занятий со специалистом Мы очень благодарны за ее труд!!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.2233	AI	0.0
Замечательный репетитор!!! Мы продолжаем заниматься до сих пор!! Репетитором я полностью довольна!!!! Мой уровень знаний значительно повысился за это короткое сотрудничество!!! Благодаря данному преподавателю мои знания грамматики стали намного лучше!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.1705	AI	0.0
Очень хороший преподаватель английского языка. Она умеет найти подход к ученику, заинтересовать предметом! Мне нравится то что она всегда подготовлена ко всем занятиям заранее : подбирает интересные материалы для занятий которые мы обсуждаем дома или же используем все имеющиеся средства связи включая Skype уроки проходят интересно быстро но самое главное результативно!!! Буду продолжать дальше изучать английский язык!!!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.1866	AI	0.0
Очень хороший преподаватель для тех кто хочет подтянуть свой разговорный навык или просто повысить знания грамматики, а также те кому нужно подготовиться к собеседованию при поиске работы за границей! Она дает много полезной информации которая поможет вам преодолеть языковой барьер перед поездкой заграницу!!! Рекомендую всем!!!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.2579	AI	0.0
Отличный преподаватель не только потому что она хороший педагог но еще просто прекрасный человек! Она очень тактичная, внимательная и доброжелательна. Уроки проходят интересно для меня с использованием различных материалов на английском языке (видео-, аудио- файлы). Я получаю достойные знания по грамматике языка за короткий промежуток времени.	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.3170	AI	0.0
Специалист нам подошла полностью как педагог-профессионал во всех отношениях. Она хорошо владеет своим предметом, имеет четкую методику преподавания и грамотно излагает материал ученику младшей школы с уровнем знаний Pre - Intermediate! Репетитор помогает ему повысить уровень владения английского языка до более продвинутого уровня (Intermidiary). Мы очень довольны сотрудничеством  со специалистом!!!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.2231	AI	0.0
Педагог занимается английским языком не только со мной - она продолжает работать ещё на двоих учеников нашей школы; все занятия проходят у нас дома под руководством специалиста английского языка. Она очень пунктуальна, ответственная и всегда готова к уроку!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.2890	AI	0.0
Преподаватель помогла мне освоить разговорную речь на английском языке (для работы). Занятия проходили интересно, в доброжелательной обстановке. Я остался доволен сотрудничеством с репетитором и оцениваю её работу положительно!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.2630	AI	0.0
"Репетитор нам понравился своим профессионализмом во всем : хорошо владеет английским языком, умеет донести свои знания до ученика. Уроки проходили интересно и продуктивно! Мы занимались по учебнику ""Английский для IT-специалистов"". Результаты занятий положительные - уровень владения английского языка у сына повысился! Спасибо за проделанную работу!!"	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.2129	AI	0.0
4 ноября 2019 г. мы с репетитором по английскому языку занимались около месяца, и я осталась довольна сотрудничеством! Педагог мне очень понравилась как в профессиональном плане так  также она приятный человек - занятия проходили интересно для меня (я учусь на 3 курсе колледжа). Я считаю что за такой короткий срок занятий мой уровень английского языка стал значительно выше благодаря преподавателю.	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.1681	AI	0.0
Педагог помогает нам подтянуть английский за короткий срок благодаря чему ребенок хорошо успевает даже во время летних каникул (2 класс). Репетитор очень пунктуальна, ответственна и доброжелательна. Она всегда приходит на занятия вовремя!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.1042	AI	0.0
Учительница помогает моей дочери усваивать школьную программу за 6 класс. Репетитор хорошо преподает английский язык, и занятия проходят продуктивно для ребенка! Они работают над лексикой по школьной программе с использованием дополнительных материалов на компьютере или ноутбуке - все в комплексе дает хорошие результаты у дочки  во всех направлениях изучения языка : разговорная речь, грамматика. Занятия всегда начинаются вовремя!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.331	AI	0.0
Прекрасный педагог английского языка для меня она помогает повысить уровень знаний, устранить пробелы у ученика. Занятия проходят интересно и продуктивно! Мы занимаемся по учебнику Oxford File (Oxford), используем аудио-материалы на занятиях с преподавателем. Я очень довольна результатами от занятий! Спасибо большое педагогу за её работу!!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.749	AI	0.0
Данный специалист как преподаватель мне понравился тем, что он умеет наладить контакт со своим учеником. Репетитор хорошо владеет английским языком и грамотно излагает материал по предмету! С сыном у них сразу сложились хорошие отношения друг с другом - они быстро нашли общий язык . Занятия всегда проходили в комфортной рабочей атмосфере без какого-либо дискомфорта для ученика или преподавателя! Благодаря занятиям мальчик стал лучше знать английский, его уровень знаний значительно повысился!!!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.2660	AI	0.0
Учитель быстро нашла контакт со старшим сыном, они отлично поладили между собой. Репетитор помогает сыну повысить уровень знаний по английскому языку и занятия проходят продуктивно! Педагог использует в работе различные учебные пособия на занятиях с учеником - это аудирование , просмотр видеоматериалов. В целом мы довольны работой преподавателя!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.1186	AI	0.0
Учительница нас полностью устраивает как с профессиональной, так и личностной точки зрения! Репетитор помогает нам повысить уровень владения английским языком на начальном этапе обучения. Педагог хорошо владеет своим предметом  - у нее хорошее произношение английского языка (что очень важно для работы), она доступно излагает материал ученику начальной школы при помощи игровых методик преподавания в игровой форме; занятия проходят интересно ребенку 4-го класса со средним уровнем знаний предмета. Занятия всегда начинаются вовремя! Все договоренности строго соблюдаются педагогом, одним словом мы довольны сотрудничеством!!!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.1902	AI	0.0
Педагог очень хорошо помогает мне в изучении английского языка. Она использует много учебников, аудио- и видеоматериалов на занятиях с ней проходят интересно! У меня уже есть успехи от занятий - я стала понимать английскую речь лучше по грамматике предмета, мой словарный запас увеличился за это время более чем вдвое; также благодаря преподавателю мои знания разговорного уровня стали намного выше!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.2448	AI	0.0
Педагог мне очень понравилась, и я с удовольствием продолжаю обучение. Репетитор хорошо преподает английский язык по своей программе в соответствии со школьной программой за 5 класс (у нас углубленное изучение языка). Уроки проходят интересно для меня - мы слушаем аудиозаписи на английском языке или читаем книги из библиотеки репетитора. Я уже чувствую прогресс!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.468	AI	0.0
Педагог дает отличные знания по английскому языку. У меня были определенные цели в изучении языка и я хотела их достичь с помощью репетитора - она помогла мне это сделать! Я очень довольна ее работой!!!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.1735	AI	0.0
Замечательный репетитор, нам очень понравилась. Она нашла подход к ребенку и занятия проходят интересно! Педагог помогает моему сыну подтянуть успеваемость по английскому языку в школе (3 класс) за 2 месяца занятий с преподавателем мы уже увидели хорошие результаты - оценки у сына улучшились на балл!!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.1742	AI	0.0
Замечательный репетитор! Она очень хорошо и доступно объясняет материал, всегда готова ответить на вопросы. Занятия проходят в комфортной обстановке с использованием различных материалов (видео-, аудиоматериалы). Я уже значительно лучше стала понимать английский язык по предмету благодаря занятиям именно с данным специалистом.	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.2509	AI	0.0
Учительница дает мне уроки английского языка. Она очень пунктуальна, ответственна и всегда готова к занятиям! Я уже значительно лучше стала знать грамматику по предмету благодаря репетитору - это заметно даже на школьных уроках.	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.2464	AI	0.0
Очень хорошая учительница, я даже не ожидала такого хорошего результата. У меня были большие пробелы в знаниях английского языка и за короткий срок мы их полностью ликвидировали! Я считаю её одним из лучших преподавателей по английскому языку среди тех кто у нас был до нее!!!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.3667	AI	0.0
"Педагог очень хорошо, качественно подготовила меня к сдаче экзамена в университете. Я сдала его на ""отлично"". Преподаватель мне помогла подготовиться и дала хорошие знания по грамматике английского языка!"	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.3032	AI	0.0
Прекрасный педагог, она очень нравится ребенку. У нас были пробелы в знаниях по английскому языку и репетитор помогает их восполнять с помощью дополнительных материалов на компьютере или ноутбуке - все это интересно для ребенка!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.2925	AI	0.0
Прекрасный преподаватель, у нас очень хороший отзыв. Она умеет найти подход к ученику и заинтересовать занятиями! Уроки проходят интересно в игровой форме с использованием различных материалов на уроках английского языка (картинки животных, картинки из журналов). Мы занимаемся всего месяц но уже видим результат от занятий - уровень знаний по предмету стал выше. Спасибо большое педагогу за ее работу!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.1930	AI	0.0
Преподаватель нам очень нравится, мы планируем продолжить с ней заниматься до конца учебного года. Педагог хорошо преподает английский язык и занятия проходят интересно для ребенка! Репетитор помогает ребенку повысить уровень знаний по предмету в целом (грамматика), а также дает знания на разговорную часть языка - это необходимо сыну при поездке за границу или общении со сверстниками-иностранцами . Уроки всегда начинаются вовремя, обстановка комфортная без каких либо отвлекающих моментов!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.3713	AI	0.0
Замечательный педагог. Он очень хорошо и доступно объясняет материал, всегда подготовлен к занятиям в соответствии с нашими пожеланиями по поводу того или иного материала (грамматика английского языка). Уроки проходят интересно для меня! Я уже значительно лучше стала знать английский язык благодаря репетитору.	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.2514	AI	0.0
Педагог очень помогла моему сыну в изучении английского языка. Она хорошо и доступно объясняет материал, занятия проходят интересно для ребенка (он учится во 2 классе). Результаты есть! У сына улучшилась успеваемость по предмету - он стал получать хорошие оценки на уроках. Мы довольны подбором специалиста!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.393	AI	0.0
Педагог нам очень нравится, она грамотный и профессиональный преподаватель. Репетитор помогает мне повысить уровень владения английского языка с нуля до более продвинутого уровня (бизнес-английский), использует в работе различные аудио-, видеоматериалы на занятиях для лучшего запоминания материала по предмету! Мы занимаемся всего месяц , но уже виден хороший результат от занятий - мой словарный запас увеличился за это время раза так во два. Я всем довольна!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.1480	AI	0.0
"Преподаватель занимается с моей дочерью английским языком. Она очень пунктуальна, ответственна и всегда готова к занятиям! Педагог помогает ребенку повысить уровень знаний по предмету в целом - это нам уже помогло при поступлении ребенка на бюджетную основу обучения во ВГИКе (специальность ""режиссер телевидения"")."	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.3752	AI	0.0
Учительница мне очень нравится! Она хорошо преподает английский язык, доступно и понятно объясняет материал. Репетитор помогает моему сыну повысить уровень знаний по предмету в целом - это нам необходимо для поступления на бюджетное отделение ВУЗа (МГИМО). Мы довольны сотрудничеством с педагогом  до сих пор!	Репетиторы по английскому языку		порог 0.8, ранд seed ранд тем от 0.1 до 0.2967	AI	0.0
